ДЕТАЛЬНАЯ СТАТИСТИКА ДЕТЕКЦИИ ПЛАМЕНИ
============================================================

ПАРАМЕТРЫ ДЕТЕКЦИИ:
------------------------------------------------------------
  buffer_size: 8
  brightness_thresh: 215
  saturation_thresh: 115
  flicker_weight: 0.25
  min_flicker_frames: 4
  use_color_filter: True
  confidence_threshold: 15.0
  flame_percent_threshold: 0.15

РЕЗУЛЬТАТЫ ПО КАДРАМ:
------------------------------------------------------------
Frame | Flame% | Confidence% | Status | Filename
------------------------------------------------------------
    0 |   5.53 |        65.4 | flame    FLAME | frame_000000.jpg
    1 |   5.24 |        65.7 | flame    FLAME | frame_000001.jpg
    2 |   5.35 |        65.9 | flame    FLAME | frame_000002.jpg
    3 |   6.06 |        65.7 | flame    FLAME | frame_000003.jpg
    4 |   6.86 |        65.4 | flame    FLAME | frame_000004.jpg
    5 |   5.03 |        65.7 | flame    FLAME | frame_000005.jpg
    6 |   5.69 |        65.7 | flame    FLAME | frame_000006.jpg
    7 |   5.25 |        65.6 | flame    FLAME | frame_000007.jpg
    8 |   6.20 |        65.8 | flame    FLAME | frame_000008.jpg
    9 |   5.92 |        65.4 | flame    FLAME | frame_000009.jpg
   10 |   6.30 |        65.5 | flame    FLAME | frame_000010.jpg
   11 |   6.68 |        65.3 | flame    FLAME | frame_000011.jpg
   12 |   4.91 |        65.4 | flame    FLAME | frame_000012.jpg
   13 |   6.50 |        65.9 | flame    FLAME | frame_000013.jpg
   14 |   5.95 |        65.8 | flame    FLAME | frame_000014.jpg
   15 |   6.86 |        65.4 | flame    FLAME | frame_000015.jpg
   16 |   5.62 |        65.9 | flame    FLAME | frame_000016.jpg
   17 |   6.03 |        65.6 | flame    FLAME | frame_000017.jpg
   18 |   5.79 |        65.7 | flame    FLAME | frame_000018.jpg
   19 |   5.88 |        65.7 | flame    FLAME | frame_000019.jpg
   20 |   5.48 |        65.8 | flame    FLAME | frame_000020.jpg
   21 |   5.77 |        65.8 | flame    FLAME | frame_000021.jpg
   22 |   5.90 |        66.0 | flame    FLAME | frame_000022.jpg
   23 |   5.94 |        65.0 | flame    FLAME | frame_000023.jpg
   24 |   5.15 |        65.8 | flame    FLAME | frame_000024.jpg
   25 |   5.72 |        65.8 | flame    FLAME | frame_000025.jpg
   26 |   7.23 |        65.0 | flame    FLAME | frame_000026.jpg
   27 |   5.76 |        65.6 | flame    FLAME | frame_000027.jpg
   28 |   5.50 |        65.5 | flame    FLAME | frame_000028.jpg
   29 |   5.56 |        65.4 | flame    FLAME | frame_000029.jpg
   30 |   6.35 |        65.2 | flame    FLAME | frame_000030.jpg
   31 |   4.98 |        65.6 | flame    FLAME | frame_000031.jpg
   32 |   5.66 |        65.9 | flame    FLAME | frame_000032.jpg
   33 |   6.18 |        65.9 | flame    FLAME | frame_000033.jpg
   34 |   5.88 |        65.4 | flame    FLAME | frame_000034.jpg
   35 |   5.40 |        65.8 | flame    FLAME | frame_000035.jpg
   36 |   6.36 |        65.7 | flame    FLAME | frame_000036.jpg
   37 |   6.21 |        65.7 | flame    FLAME | frame_000037.jpg
   38 |   6.39 |        65.7 | flame    FLAME | frame_000038.jpg
   39 |   5.44 |        65.6 | flame    FLAME | frame_000039.jpg
   40 |   5.22 |        65.5 | flame    FLAME | frame_000040.jpg
   41 |   6.11 |        64.9 | flame    FLAME | frame_000041.jpg
   42 |   5.77 |        65.6 | flame    FLAME | frame_000042.jpg
   43 |   5.61 |        65.8 | flame    FLAME | frame_000043.jpg
   44 |   5.29 |        65.5 | flame    FLAME | frame_000044.jpg
   45 |   5.46 |        65.8 | flame    FLAME | frame_000045.jpg
   46 |   6.26 |        65.6 | flame    FLAME | frame_000046.jpg
   47 |   5.38 |        65.9 | flame    FLAME | frame_000047.jpg
   48 |   6.40 |        65.5 | flame    FLAME | frame_000048.jpg
   49 |   5.88 |        66.4 | flame    FLAME | frame_000049.jpg
   50 |   6.53 |        65.5 | flame    FLAME | frame_000050.jpg
   51 |   5.29 |        65.2 | flame    FLAME | frame_000051.jpg
   52 |   5.51 |        65.7 | flame    FLAME | frame_000052.jpg
   53 |   5.85 |        66.6 | flame    FLAME | frame_000053.jpg
   54 |   5.97 |        65.5 | flame    FLAME | frame_000054.jpg
   55 |   5.68 |        65.9 | flame    FLAME | frame_000055.jpg
   56 |   5.70 |        65.8 | flame    FLAME | frame_000056.jpg
   57 |   6.60 |        65.5 | flame    FLAME | frame_000057.jpg
   58 |   7.35 |        65.6 | flame    FLAME | frame_000058.jpg
   59 |   5.85 |        65.5 | flame    FLAME | frame_000059.jpg
   60 |   6.15 |        65.5 | flame    FLAME | frame_000060.jpg
   61 |   5.51 |        65.4 | flame    FLAME | frame_000061.jpg
   62 |   5.82 |        65.7 | flame    FLAME | frame_000062.jpg
   63 |   5.72 |        65.5 | flame    FLAME | frame_000063.jpg
   64 |   6.05 |        65.5 | flame    FLAME | frame_000064.jpg
   65 |   6.22 |        65.9 | flame    FLAME | frame_000065.jpg
   66 |   6.72 |        65.8 | flame    FLAME | frame_000066.jpg
   67 |   5.84 |        65.8 | flame    FLAME | frame_000067.jpg
   68 |   6.56 |        65.4 | flame    FLAME | frame_000068.jpg
   69 |   5.71 |        65.5 | flame    FLAME | frame_000069.jpg
   70 |   5.65 |        65.6 | flame    FLAME | frame_000070.jpg
   71 |   6.45 |        65.4 | flame    FLAME | frame_000071.jpg
   72 |   6.98 |        65.8 | flame    FLAME | frame_000072.jpg
   73 |   5.12 |        65.4 | flame    FLAME | frame_000073.jpg
   74 |   4.59 |        65.7 | flame    FLAME | frame_000074.jpg
   75 |   6.10 |        65.7 | flame    FLAME | frame_000075.jpg
   76 |   6.36 |        65.5 | flame    FLAME | frame_000076.jpg
   77 |   5.16 |        65.9 | flame    FLAME | frame_000077.jpg
   78 |   5.17 |        65.6 | flame    FLAME | frame_000078.jpg
   79 |   5.69 |        65.9 | flame    FLAME | frame_000079.jpg
   80 |   6.00 |        64.9 | flame    FLAME | frame_000080.jpg
   81 |   6.06 |        65.3 | flame    FLAME | frame_000081.jpg
   82 |   6.06 |        64.9 | flame    FLAME | frame_000082.jpg
   83 |   5.99 |        65.5 | flame    FLAME | frame_000083.jpg
   84 |   6.32 |        65.1 | flame    FLAME | frame_000084.jpg
   85 |   5.58 |        65.3 | flame    FLAME | frame_000085.jpg
   86 |   5.40 |        65.6 | flame    FLAME | frame_000086.jpg
   87 |   5.71 |        65.6 | flame    FLAME | frame_000087.jpg
   88 |   6.17 |        66.0 | flame    FLAME | frame_000088.jpg
   89 |   5.66 |        65.4 | flame    FLAME | frame_000089.jpg
   90 |   5.92 |        65.4 | flame    FLAME | frame_000090.jpg
